2025-05-25 16:35:05 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-25 16:36:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:17:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
